# t X Y Z X_set Y_set Z_set
48.162000 18.224148 21.941591 2.955395 0.000000 0.000000 3.000000
48.163000 18.219265 21.941586 2.955400 0.000000 0.000000 3.000000
48.164000 18.214382 21.941580 2.955405 0.000000 0.000000 3.000000
48.165000 18.209499 21.941574 2.955410 0.000000 0.000000 3.000000
48.166000 18.204617 21.941566 2.955415 0.000000 0.000000 3.000000
48.167000 18.199736 21.941561 2.955420 0.000000 0.000000 3.000000
48.168000 18.194853 21.941555 2.955425 0.000000 0.000000 3.000000
48.169000 18.189972 21.941549 2.955430 0.000000 0.000000 3.000000
48.170000 18.185091 21.941542 2.955435 0.000000 0.000000 3.000000
48.171000 18.180210 21.941536 2.955440 0.000000 0.000000 3.000000
48.172000 18.175329 21.941530 2.955445 0.000000 0.000000 3.000000
48.173000 18.170448 21.941523 2.955450 0.000000 0.000000 3.000000
48.174000 18.165567 21.941517 2.955455 0.000000 0.000000 3.000000
48.175000 18.160688 21.941511 2.955460 0.000000 0.000000 3.000000
48.176000 18.155807 21.941505 2.955465 0.000000 0.000000 3.000000
48.177000 18.150928 21.941498 2.955470 0.000000 0.000000 3.000000
48.178000 18.146049 21.941492 2.955475 0.000000 0.000000 3.000000
48.179000 18.141171 21.941486 2.955480 0.000000 0.000000 3.000000
48.180000 18.136292 21.941481 2.955485 0.000000 0.000000 3.000000
48.181000 18.131413 21.941473 2.955490 0.000000 0.000000 3.000000
48.182000 18.126535 21.941467 2.955496 0.000000 0.000000 3.000000
48.183000 18.121656 21.941462 2.955501 0.000000 0.000000 3.000000
48.184000 18.116779 21.941456 2.955506 0.000000 0.000000 3.000000
48.185000 18.111902 21.941448 2.955511 0.000000 0.000000 3.000000
48.186000 18.107025 21.941442 2.955516 0.000000 0.000000 3.000000
48.187000 18.102148 21.941437 2.955521 0.000000 0.000000 3.000000
48.188000 18.097271 21.941429 2.955526 0.000000 0.000000 3.000000
48.189000 18.092396 21.941423 2.955531 0.000000 0.000000 3.000000
48.190000 18.087519 21.941418 2.955537 0.000000 0.000000 3.000000
48.191000 18.082644 21.941412 2.955542 0.000000 0.000000 3.000000
48.192000 18.077768 21.941404 2.955547 0.000000 0.000000 3.000000
48.193000 18.072893 21.941399 2.955552 0.000000 0.000000 3.000000
48.194000 18.068018 21.941393 2.955557 0.000000 0.000000 3.000000
48.195000 18.063143 21.941385 2.955563 0.000000 0.000000 3.000000
48.196000 18.058268 21.941380 2.955568 0.000000 0.000000 3.000000
48.197000 18.053394 21.941374 2.955573 0.000000 0.000000 3.000000
48.198000 18.048521 21.941366 2.955578 0.000000 0.000000 3.000000
48.199000 18.043648 21.941360 2.955584 0.000000 0.000000 3.000000
48.200000 18.038774 21.941355 2.955589 0.000000 0.000000 3.000000
48.201000 18.033901 21.941347 2.955594 0.000000 0.000000 3.000000
48.202000 18.029028 21.941341 2.955599 0.000000 0.000000 3.000000
48.203000 18.024155 21.941336 2.955605 0.000000 0.000000 3.000000
48.204000 18.019283 21.941328 2.955610 0.000000 0.000000 3.000000
48.205000 18.014412 21.941322 2.955615 0.000000 0.000000 3.000000
48.206000 18.009541 21.941317 2.955620 0.000000 0.000000 3.000000
48.207000 18.004669 21.941309 2.955626 0.000000 0.000000 3.000000
48.208000 17.999798 21.941303 2.955631 0.000000 0.000000 3.000000
48.209000 17.994926 21.941298 2.955636 0.000000 0.000000 3.000000
48.210000 17.990055 21.941290 2.955642 0.000000 0.000000 3.000000
48.211000 17.985186 21.941284 2.955647 0.000000 0.000000 3.000000
48.212000 17.980316 21.941277 2.955652 0.000000 0.000000 3.000000
48.213000 17.975447 21.941271 2.955657 0.000000 0.000000 3.000000
48.214000 17.970577 21.941265 2.955663 0.000000 0.000000 3.000000
48.215000 17.965708 21.941257 2.955668 0.000000 0.000000 3.000000
48.216000 17.960838 21.941252 2.955674 0.000000 0.000000 3.000000
48.217000 17.955971 21.941244 2.955679 0.000000 0.000000 3.000000
48.218000 17.951101 21.941238 2.955684 0.000000 0.000000 3.000000
48.219000 17.946234 21.941233 2.955690 0.000000 0.000000 3.000000
48.220000 17.941366 21.941225 2.955695 0.000000 0.000000 3.000000
48.221000 17.936499 21.941219 2.955701 0.000000 0.000000 3.000000
48.222000 17.931631 21.941212 2.955706 0.000000 0.000000 3.000000
48.223000 17.926765 21.941206 2.955711 0.000000 0.000000 3.000000
48.224000 17.921898 21.941198 2.955717 0.000000 0.000000 3.000000
48.225000 17.917032 21.941193 2.955722 0.000000 0.000000 3.000000
48.226000 17.912167 21.941185 2.955728 0.000000 0.000000 3.000000
48.227000 17.907301 21.941179 2.955733 0.000000 0.000000 3.000000
48.228000 17.902435 21.941172 2.955739 0.000000 0.000000 3.000000
48.229000 17.897570 21.941166 2.955744 0.000000 0.000000 3.000000
